Date,Open,High,Low,Close
2024-06-11,1.2725,1.2739,1.2724,1.2736
2024-06-10,1.2717,1.2737,1.2688,1.2727
2024-06-07,1.2791,1.2818,1.2713,1.2720
2024-06-06,1.2786,1.2809,1.2762,1.2791
2024-06-05,1.2770,1.2795,1.2755,1.2785
2024-06-04,1.2805,1.2817,1.2743,1.2770
2024-06-03,1.2739,1.2808,1.2694,1.2805
2024-05-31,1.2732,1.2766,1.2700,1.2741
2024-05-30,1.2703,1.2747,1.2680,1.2733
2024-05-29,1.2763,1.2772,1.2697,1.2703
2024-05-28,1.2768,1.2801,1.2754,1.2762
2024-05-27,1.2737,1.2778,1.2733,1.2768
2024-05-24,1.2699,1.2751,1.2675,1.2736
2024-05-23,1.2717,1.2747,1.2685,1.2698
2024-05-22,1.2710,1.2761,1.2700,1.2717
2024-05-21,1.2704,1.2727,1.2686,1.2710
2024-05-20,1.2695,1.2726,1.2689,1.2707
2024-05-17,1.2671,1.2712,1.2644,1.2700
2024-05-16,1.2683,1.2701,1.2643,1.2670
2024-05-15,1.2590,1.2687,1.2583,1.2684
2024-05-14,1.2558,1.2593,1.2509,1.2590
2024-05-13,1.2521,1.2569,1.2516,1.2558
2024-05-10,1.2523,1.2541,1.2502,1.2521
2024-05-09,1.2496,1.2527,1.2445,1.2523
2024-05-08,1.2508,1.2509,1.2467,1.2495
2024-05-07,1.2564,1.2571,1.2501,1.2507
2024-05-06,1.2545,1.2594,1.2538,1.2563
2024-05-03,1.2533,1.2634,1.2529,1.2544
2024-05-02,1.2523,1.2545,1.2471,1.2531
2024-05-01,1.2493,1.2550,1.2466,1.2521
2024-04-30,1.2561,1.2564,1.2486,1.2494
2024-04-29,1.2492,1.2570,1.2491,1.2561
2024-04-26,1.2511,1.2541,1.2449,1.2492
2024-04-25,1.2461,1.2527,1.2454,1.2512
2024-04-24,1.2447,1.2470,1.2422,1.2461
2024-04-23,1.2350,1.2458,1.2331,1.2447
2024-04-22,1.2368,1.2392,1.2299,1.2349
2024-04-19,1.2438,1.2468,1.2366,1.2369
2024-04-18,1.2455,1.2485,1.2433,1.2439
2024-04-17,1.2427,1.2482,1.2417,1.2455
2024-04-16,1.2445,1.2472,1.2405,1.2426
2024-04-15,1.2449,1.2498,1.2435,1.2443
2024-04-12,1.2554,1.2559,1.2426,1.2450
2024-04-11,1.2537,1.2578,1.2510,1.2554
2024-04-10,1.2675,1.2708,1.2520,1.2536
2024-04-09,1.2653,1.2709,1.2648,1.2675
2024-04-08,1.2629,1.2664,1.2613,1.2653
2024-04-05,1.2641,1.2648,1.2574,1.2636
2024-04-04,1.2650,1.2684,1.2632,1.2641
2024-04-03,1.2579,1.2656,1.2562,1.2650
2024-04-02,1.2553,1.2580,1.2539,1.2579
2024-04-01,1.2626,1.2642,1.2539,1.2552
2024-03-29,1.2620,1.2645,1.2609,1.2623
2024-03-28,1.2637,1.2655,1.2586,1.2619
2024-03-27,1.2629,1.2641,1.2605,1.2637
2024-03-26,1.2636,1.2668,1.2620,1.2629
2024-03-25,1.2599,1.2652,1.2589,1.2636
2024-03-22,1.2657,1.2675,1.2575,1.2601
2024-03-21,1.2783,1.2803,1.2650,1.2657
2024-03-20,1.2721,1.2787,1.2684,1.2783
