Date,Open,High,Low,Close
2024-06-11,23.8175,23.8938,23.7895,23.8690
2024-06-10,24.0122,24.0551,23.7424,23.7969
2024-06-07,24.2342,24.2817,23.8886,23.9662
2024-06-06,24.1718,24.3016,24.1125,24.2339
2024-06-05,23.8742,24.2349,23.8040,24.1766
2024-06-04,23.6967,23.9545,23.6666,23.8740
2024-06-03,23.9628,24.0295,23.6072,23.6622
2024-05-31,23.8335,24.0241,23.6966,23.8691
2024-05-30,23.3919,23.8937,23.3168,23.8305
2024-05-29,23.3079,23.4301,23.2232,23.3909
2024-05-28,23.3906,23.5390,23.2771,23.3133
2024-05-27,23.4094,23.5209,23.3732,23.3945
2024-05-24,23.4269,23.5026,23.3053,23.4935
2024-05-23,23.2086,23.4767,23.2086,23.4206
2024-05-22,22.9834,23.2682,22.9035,23.2077
2024-05-21,23.1027,23.1834,22.8893,22.9606
2024-05-20,23.0548,23.2271,22.9656,23.1015
2024-05-17,23.0039,23.1413,22.9444,23.0230
2024-05-16,23.1591,23.2124,22.9824,23.0015
2024-05-15,23.1228,23.2263,23.0771,23.1562
2024-05-14,23.0054,23.1996,22.9965,23.1247
2024-05-13,23.0621,23.1023,22.9398,23.0115
2024-05-10,23.1124,23.1602,23.0024,23.0661
2024-05-09,23.2265,23.2776,23.0167,23.0947
2024-05-08,23.1027,23.2932,23.0801,23.2243
2024-05-07,23.1636,23.2754,23.0706,23.1131
2024-05-06,23.1713,23.2738,23.0938,23.1639
2024-05-03,23.2233,23.3296,23.0692,23.1772
2024-05-02,23.2697,23.3766,23.1492,23.2233
2024-05-01,23.4348,23.4748,23.1843,23.2616
2024-04-30,23.4188,23.5945,23.3567,23.4354
2024-04-29,23.4408,23.5661,23.3472,23.4252
2024-04-26,23.7814,23.8696,23.3841,23.4399
2024-04-25,23.9236,23.9775,23.6561,23.7843
2024-04-24,23.7510,23.9610,23.7120,23.9154
2024-04-23,23.6884,23.8736,23.6467,23.7514
2024-04-22,23.6229,23.7127,23.4845,23.6784
2024-04-19,23.8077,24.0252,23.5494,23.6042
2024-04-18,23.6809,23.8933,23.5876,23.8081
2024-04-17,23.6616,23.7849,23.5853,23.6642
2024-04-16,23.5917,23.7750,23.5792,23.6399
2024-04-15,23.4761,23.7341,23.4040,23.5898
2024-04-12,23.4872,23.5913,23.3283,23.4498
2024-04-11,23.5233,23.6393,23.4330,23.4870
2024-04-10,23.3891,23.6194,23.3380,23.5087
2024-04-09,23.5676,23.5959,23.3454,23.3878
2024-04-08,23.5825,23.6516,23.3944,23.5584
2024-04-05,23.6430,23.6904,23.4406,23.5587
2024-04-04,23.6047,23.6925,23.4770,23.6281
2024-04-03,23.6054,23.7000,23.5467,23.5935
2024-04-02,23.7709,23.7882,23.5346,23.5886
2024-04-01,23.9002,23.9172,23.6844,23.7529
2024-03-29,23.8858,23.9218,23.7653,23.8128
2024-03-28,23.8791,24.0598,23.8311,23.8971
2024-03-27,23.9283,23.9696,23.7973,23.8789
2024-03-26,23.8605,23.9990,23.8020,23.9284
2024-03-25,23.9355,23.9780,23.8227,23.8605
2024-03-22,23.7974,23.9826,23.7756,23.9010
2024-03-21,23.9004,23.9584,23.7752,23.8000
2024-03-20,24.0220,24.1277,23.8164,23.8883
2024-03-19,24.1073,24.1733,23.9796,24.0140
2024-03-18,23.8557,24.1838,23.8368,24.1071
2024-03-15,23.8542,23.9161,23.7482,23.8436
2024-03-14,23.7404,23.9441,23.7230,23.8546
2024-03-13,23.8922,23.9677,23.6637,23.7291
2024-03-12,23.8833,23.9677,23.6947,23.8801
2024-03-11,24.1753,24.2062,23.8324,23.8830
2024-03-08,23.8918,24.1361,23.8623,24.0383
2024-03-07,23.9557,24.0304,23.8593,23.9170
2024-03-06,24.0721,24.1159,23.9052,23.9553
2024-03-05,24.1317,24.2101,23.9923,24.0741
2024-03-04,24.1735,24.2163,24.0484,24.1471
2024-03-01,24.2065,24.3068,24.1035,24.1562
2024-02-29,24.3703,24.4368,24.1637,24.2119
2024-02-28,24.1888,24.4544,24.1454,24.3864
